,objectid,x,y,date_updte,address,city,state,zipcode,fac_name,fac_type,ferry_t,ferry_i,bus_t,bus_i,bus_code_s,bus_supp,rail_i,rail_c,rail_h,rail_light,air_serve,bike_share,bike_sys,i_service,t_service,modes_serv,mode_bus,mode_air,mode_rail,mode_ferry,mode_bike
624,2894,-90.1676,38.6595,04/16/16,150 N 5th St,East St Louis,IL,62201,5th and Missouri Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
625,2895,-90.0929,38.6129,04/16/16,955 N Kingshighway,East St Louis,IL,62203,Washington Park Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
626,2896,-90.1226,38.6245,04/16/16,1000 N 25th St,East St Louis,IL,62204,JJK Center Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
627,2897,-90.1369,38.6281,04/16/16,929 N 15th St,East St Louis,IL,62205,Emerson Park Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
628,2898,-90.0495,38.5966,04/16/16,9200 St Clair Ave,Fairview Heights,IL,62208,Fairview Heights Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
629,2899,-89.9751,38.521,04/16/16,718 Scheel St,Belleville,IL,62220,Belleville Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
630,2900,-89.8805,38.5397,04/16/16,880 Metro Plaza Ln,Belleville,IL,62221,Shiloh Scott Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
631,2901,-89.9205,38.5194,04/16/16,2622 Carlyle Ave,Belleville,IL,62221,College Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
632,2902,-90.0164,38.5573,04/16/16,1502 Flanagan Rd,Belleville,IL,62223,Memorial Hospital Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
633,2903,-89.9836,38.5371,04/16/16,2222 N Illinois St,Belleville,IL,62226,Swansea Station,8,3,3,1.0,0,0,3,0,3,3,1,0,3,,0,1,2,1,0,1,0,0
634,2904,-89.83518000000001,38.54518,04/16/16,9768 Airport Blvd,Belleville (Mascoutah),IL,62258,Mid America Airport,1,3,3,0.0,0,0,3,0,3,3,0,1,3,,1,0,1,0,1,0,0,0
635,2905,-91.36635,39.957440000000005,04/16/16,N 30th St & Wismann Ln,Quincy,IL,62301,Amtrak Station,10,3,3,1.0,3,3,3,1,3,3,3,0,3,,1,1,2,1,0,1,0,0
636,2906,-91.19457,39.94273,04/16/16,1645 Hwy 104,Quincy,IL,62305,Quincy Regional-Baldwin Field,1,3,3,0.0,3,3,3,0,3,3,3,1,3,,1,0,1,0,1,0,0,0
637,2907,-88.54571999999999,39.11916,04/16/16,401 W National Ave,Effingham,IL,62401,Amtrak Station,10,3,3,3.0,0,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
638,2908,-88.538,39.1346,09/16/16,2500 N 3rd St Rt 45N,Effingham,IL,62401,,2,3,3,3.0,1,3,3,0,3,3,3,3,3,,1,0,1,1,0,0,0,0
639,2909,-88.86569,39.834559999999996,04/16/16,910 S Airport Rd,Decatur,IL,62521,Decatur,1,3,3,1.0,0,3,3,3,3,3,3,1,3,,1,1,2,1,1,0,0,0
640,2910,-88.986,39.8757,09/16/16,1675 E Pershing Rd,Decatur,IL,62526,,2,3,3,0.0,1,3,3,3,3,3,3,0,3,,1,0,1,1,0,0,0,0
641,2911,-89.0116,37.75314,04/16/16,10400 Terminal Dr,Marion,IL,62595,Williamson County Reg,1,3,3,0.0,0,3,3,0,3,3,3,1,3,,1,0,1,0,1,0,0,0
642,2912,-89.88892,39.27933,04/16/16,128 Alton St,Carlinville,IL,62626,Amtrak Station,10,3,3,0.0,0,0,3,1,3,3,0,0,3,,1,0,1,0,0,1,0,0
643,2913,-89.3633,40.14754,04/16/16,Broadway at N Chicago St,Lincoln,IL,62656,Amtrak Station,10,3,3,3.0,3,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
644,2914,-89.6044,39.841,09/16/16,2815 N Dirksen Pkwy,Springfield,IL,62702,,2,3,3,1.0,1,0,3,0,3,3,3,0,3,,1,1,1,1,0,0,0,0
645,2915,-89.67789,39.8441,04/16/16,1200 Capital Airport Dr,Springfield,IL,62707,Abraham Lincoln Capital Airport,1,3,3,0.0,0,0,3,0,3,3,3,1,3,,1,0,1,0,1,0,0,0
646,2916,-89.13619,38.527770000000004,04/16/16,108 E Broadway,Centralia,IL,62801,Amtrak Station,10,3,3,3.0,3,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
647,2917,-89.24016,38.01135,04/16/16,20 N Chestnut St,Du Quoin,IL,62832,Amtrak Station,10,3,3,3.0,3,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
648,2918,-88.95700000000001,38.3128,09/16/16,102 Potomac Blvd,Mt Vernon,IL,62864,,2,3,3,3.0,1,3,3,3,3,3,3,3,3,,1,0,1,1,0,0,0,0
649,2919,-88.95,37.7307,09/16/16,2100 W Main,Marion,IL,62959,,2,3,3,0.0,1,3,3,0,3,3,3,0,3,,1,0,1,1,0,0,0,0
650,2920,-88.887,37.4165,09/16/16,504 E Vine St,Vienna,IL,62995,,2,3,3,3.0,1,3,3,3,3,3,3,3,3,,1,0,1,1,0,0,0,0
